Season,Clemson Points Allowed,Florida Points Allowed,FSU Points Allowed
2004,20.818181818181817,20.545454545454547,13.727272727272727
2005,18.272727272727273,18.363636363636363,21.666666666666668
2006,15.166666666666666,13.461538461538462,19.25
2007,18.333333333333332,24.166666666666668,21.916666666666668
2008,16.583333333333332,12.846153846153847,20.75
2009,21.0,11.538461538461538,30.75
2010,17.75,21.083333333333332,19.846153846153847
2011,26.153846153846153,20.583333333333332,15.166666666666666
2012,24.916666666666668,12.916666666666666,15.076923076923077
2013,21.083333333333332,21.083333333333332,10.692307692307692
2014,17.583333333333332,21.181818181818183,23.0
2015,20.23076923076923,16.53846153846154,15.75
2016,18.384615384615383,17.916666666666668,24.416666666666668
2017,12.76923076923077,27.272727272727273,21.916666666666668
2018,13.692307692307692,20.416666666666668,31.5
2019,10.615384615384615,14.416666666666666,28.5
2020,17.545454545454547,28.636363636363637,36.0
